Model,MAE,MSE,RMSE,R2
XGBoost,182.48872576554615,59435.646273041944,243.79427038599974,0.8658150129622335
ARIMA,70.9897252909875,8881.437577977411,94.24137932976899,-0.09254122653050656
LSTM,78.88507634943186,10764.64397275677,103.75280224050226,-0.27232989079492187
