Model,MAE,MSE,RMSE,R2
XGBoost,182.48872576554615,59435.646273041944,243.79427038599974,0.8658150129622335
Ridge Regression,195.59820918882036,70318.57301299128,265.1764940808127,0.8412451550553393
Random Forest,206.14873633940695,70832.44318890643,266.1436514157466,0.8400850151861183
Linear Regression,194.90003173231491,71186.41180806354,266.8078181164554,0.8392858773361626
Gradient Boosting,213.96523308665766,73679.27773605225,271.43927080666174,0.8336578543699888
Extra Trees,212.9200519497075,78420.82133351729,280.03717848442426,0.8229531004712595
Decision Tree,264.5796750388827,128427.5933015807,358.3679579727807,0.7100552274085308
